text,replyToSN,screenName,retweetCount,isRetweet
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,GRAHAMMOORE11,4911,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,MalkinJan,3881,TRUE
"RT @linacantalupa: @MSNBC If you watched #BidenTownHallABC you were informed on #JoeBiden’s transparency, policies, America’s future and un…",,NJshorelady,5,TRUE
"RT @SandraSentinel: Facebook and Twitter and Google have interfered in election more than Russia and China.

Makes one wonder is Russia and…",,dp178,201,TRUE
"@mercedesschlapp @JoeBiden @ABCPolitics Like, #JoeBiden is talking POLICY and connecting with the people 🤝🏼 #Vote… https://t.co/Wr0IWUxgZj",mercedesschlapp,LuxeTravelGuru,0,FALSE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,kosser_riaz,3881,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,earthmother634,3881,TRUE
@Manny_Funes @realDonaldTrump @nbc NO.  We  did NOT watch @realDonaldTrump on @NBC tonight.  We watched #JoeBiden o… https://t.co/r3Vif1AVPt,Manny_Funes,washumom,0,FALSE
RT @RealJamesWoods: Sharpshooter #JoeBiden: “Shoot ‘em in the leg!”  https://t.co/4sLt3Ij4tD,,Macfatty497,3232,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,PamSandwiches,3881,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,20tBob4,3881,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,TRICKYWAPPY,4911,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,deirdredelahunt,3881,TRUE
"RT @BetteMidler: A great, coherent, actually #hopefulTownHall thanks to #JOEBIDEN.   It was such a thrill to hear intelligent questions ans…",,WSSmith_wsg,945,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,Remo822,4911,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,ScrewedContrac1,3881,TRUE
"RT @wirelesshogan: At the #AbcTownHall, #JoeBiden was asked about #GreenEnergy by a woman from Pennsylvania who prefaced her question with…",,Anthony93516773,40,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,RSVP2Robin,3881,TRUE
RT @RealJamesWoods: Sharpshooter #JoeBiden: “Shoot ‘em in the leg!”  https://t.co/4sLt3Ij4tD,,BaptisteGfry,3232,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,WrapItUpHarder,3881,TRUE
"RT @BetteMidler: A great, coherent, actually #hopefulTownHall thanks to #JOEBIDEN.   It was such a thrill to hear intelligent questions ans…",,michellesawyer6,945,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,Oneredbird1,3881,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,perihalajian,3881,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,amlynrod,3881,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,lorri29959,3881,TRUE
Many in #US are unaware that this investigation was initiated 3 yrs ago by the General Prosecutor’s Office (GPO) of… https://t.co/Sp6GEmiH2I,,RealJoelGomes,0,FALSE
"RT @F_Rossi_: #JoeBiden, durante #TownHallABC, ha sostenuto che una bambina di 8 anni sia in grado di decidere sul fatto di essere transgen…",,SeratEnrico,4,TRUE
"@POTUS vs #Democrats 

#JoeBiden #SleepyJoe #Trump #Trump2020Landslide https://t.co/u4fLHMF3CQ",POTUS,DVteV,0,FALSE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,JustUrAvgJoe,3881,TRUE
