text,replyToSN,screenName,retweetCount,isRetweet
RT @Duke_Lucas_: This how imma look pulling up to vote this November. #MAGA #KAG https://t.co/i8nlpK8VRH,,DTzvetkovsky,121,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,blue_creamso_da,24415,TRUE
"20% off with ZAZDAY5DEALS

Trump Sucks black font T-Shirt
@Zazzle

https://t.co/HSFRoC8EZk

@pASob_dESIGN… https://t.co/pYNYiLNoeh",,pASob_dESIGN,0,FALSE
"20% off with ZAZDAY5DEALS

Trump Sucks black font T-Shirt
@Zazzle

https://t.co/HSFRoC8EZk

@pASob_dESIGN… https://t.co/xhl7WPyQeW",,pASob_dESIGN,0,FALSE
"RT @matteosalvinimi: Amici, chi vincerà secondo voi negli Stati Uniti??? 🇺🇸🇮🇹
#Trump2020 #MAGA #MAGA2020
#Elections2020 #VOTE https://t.co/…",,UBrignone,303,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,94e46fb630b341e,24415,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,JPmitch12345,24415,TRUE
"RT @AndreaSchlegel3: Dieser Mann hat voll den Durchblick, auch wenn unsere Medien ihn noch so verunglimpfen..👍👍
#MAGA https://t.co/5YJWJ92m…",,pina2345,60,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,dodominique42,24415,TRUE
RT @LouDobbs: Big Tech Bias: Lou condemns Silicon Valley executives for their relationship with the Radical Dems and their censorship of in…,,michael_szumega,609,TRUE
RT @LouDobbs: Tonight's quote and word of the day focuses on the Big Tech oligarchs and their totalitarian control of our country. #MAGA #A…,,ch25061,629,TRUE
"RT @mikandynothem: I keep picturing Nancy Pelosi throwing her wine glass against the wall with all of today's bad news for Democrats.
Can't…",,xChuke,1346,TRUE
"RT @mikandynothem: The @JoeBiden and Dem meltdown is in high gear!
#CrookedJoeBiden #MAGA #FoxNews #JoeBidenUkraineScandal https://t.co/R82…",,xChuke,1399,TRUE
"RT @EdanClay: I keep looking in all those long voting lines they show on TV for #MAGA @realDonaldTrump supporters, but from what I can see…",,JoshuaRog3rs,24,TRUE
RT @LouDobbs: Drain the Swamp: @SidneyPowell1 says we must reelect @realDonaldTrump to take back the power the deep state has deprived him…,,RobertJackson55,1962,TRUE
"RT @BoomTruthUSA: When it's time to get your #patriotism on. Get Boom Truth!  #MAGA
https://t.co/cVJgtkuYt5 https://t.co/jV727p1I3q",,fondalo,1,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,aka_kuchinashi,24415,TRUE
